Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,Do you contribute to hiring and firing decisions at your company?,"For many professions, alternative credentials can qualify a person for an entry-level position.",It will soon become fairly conventional for high school graduates to obtain alternative credentials instead of going to college.,"When you add up the pros and cons for online education, it's probably a good thing for society overall.","When you add up the pros and cons for artificial intelligence, it's probably a good thing for society overall.","When you add up the pros and cons for cryptocurrency, it's probably a good thing for society overall.","When evaluating an applicant's education, it is important is important to check whether the degree was awarded from a US institution.",Have you heard of any of the following online course providers?,,,,,Do you work in a STEM profession?,Which of these industries most closely matches your profession?,I consider myself religious,I consider myself Christian,Government regulation helps ensure businesses treat individuals more fairly.,Age,Gender,Household Income,Region,Device Type
6947550334,175027024,10/9/2018 11:47,10/9/2018 11:50,,,,,70f1a337913d56b24f861044fb,No,2,7,7,8,5,Strongly Agree,,,Coursera,,,No,Other,8,Strongly Agree,8,30-44,Male,"$25,000-$49,999",West South Central,Android Phone / Tablet
6947550279,175027024,10/9/2018 11:49,10/9/2018 11:50,,,,,9f8f068988b6e2d9eb1713dabc,Yes,3,8,5,7,3,9,,,Coursera,,,Yes,"Finance, Investment, or Accounting",8,5,Strongly Disagree,30-44,Male,"$75,000-$99,999",Mountain,iOS Phone / Tablet
6947550199,175027024,10/9/2018 11:48,10/9/2018 11:50,,,,,e31f13524a9ba6bb792f76af15,No,7,6,5,4,3,7,Udacity,Udemy,Coursera,,Lynda.com,No,Retail,3,3,7,18-29,Female,"$50,000-$74,999",Pacific,iOS Phone / Tablet
6947550190,175027024,10/9/2018 11:49,10/9/2018 11:50,,,,,53de1a3944a436807bea59a32e,Yes,Strongly Agree,8,8,9,8,8,,Udemy,Coursera,,Lynda.com,Yes,Education,Strongly Agree,4,8,18-29,Male,"$75,000-$99,999",Mountain,iOS Phone / Tablet
6947550173,175027024,10/9/2018 11:47,10/9/2018 11:50,,,,,dc239ac83a5c8a528f0213e928,No,8,9,7,6,7,4,,,,,Lynda.com,No,Other,9,2,6,18-29,Female,"$10,000-$24,999",Mountain,iOS Phone / Tablet
6947550080,175027024,10/9/2018 11:47,10/9/2018 11:50,,,,,adcb0ffddb5f4667e9931d7f98,No,6,8,Strongly Agree,Strongly Agree,5,6,,Udemy,,,,No,Retail,8,8,5,18-29,Female,"$10,000-$24,999",South Atlantic,iOS Phone / Tablet
6947550077,175027024,10/9/2018 11:46,10/9/2018 11:50,,,,,121ee08257fd579543d75cd656,No,8,Strongly Agree,9,5,4,2,,,,Pluralsight,,Unsure,"Finance, Investment, or Accounting",7,7,6,30-44,Female,"$25,000-$49,999",West South Central,Android Phone / Tablet
6947550062,175027024,10/9/2018 11:49,10/9/2018 11:50,,,,,584e8a1d582749c7d6b31781d4,No,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,,Udemy,,,,No,Health,5,5,Strongly Agree,30-44,Female,"$25,000-$49,999",East North Central,Android Phone / Tablet
6947550038,175027024,10/9/2018 11:47,10/9/2018 11:50,,,,,746a4121cd9e5ced84b8849ce7,No,7,9,7,3,4,8,,,,,,No,Manufacturing,Strongly Agree,Strongly Agree,9,30-44,Female,"$25,000-$49,999",East South Central,Android Phone / Tablet
6947550034,175027024,10/9/2018 11:48,10/9/2018 11:50,,,,,16b233421c837b7180c2b3a439,No,Strongly Agree,Strongly Disagree,8,6,5,7,,,,,Lynda.com,No,Health,6,9,Strongly Disagree,18-29,Female,"$50,000-$74,999",South Atlantic,iOS Phone / Tablet
6947550024,175027024,10/9/2018 11:48,10/9/2018 11:50,,,,,dedabdd2ea9002f3700bb71c73,No,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,5,Strongly Agree,,,,,,Yes,Manufacturing,6,Strongly Agree,Strongly Agree,30-44,Female,"$25,000-$49,999",East North Central,Android Phone / Tablet
6947550007,175027024,10/9/2018 11:48,10/9/2018 11:50,,,,,cfd4aae4c773da6a188bbbd4c8,No,6,4,7,3,6,5,,,Coursera,,,No,Retail,Strongly Agree,Strongly Agree,8,18-29,Female,"$25,000-$49,999",East South Central,iOS Phone / Tablet
6947549998,175027024,10/9/2018 11:47,10/9/2018 11:50,,,,,88f81638f9358a796520780438,No,8,Strongly Agree,8,5,7,5,Udacity,Udemy,Coursera,Pluralsight,Lynda.com,No,Agriculture,4,Strongly Agree,7,18-29,Male,"$10,000-$24,999",Pacific,iOS Phone / Tablet
6947549881,175027024,10/9/2018 11:47,10/9/2018 11:50,,,,,ca973672783461cf885f3bdaaf,Yes,Strongly Agree,8,8,6,Strongly Disagree,8,Udacity,Udemy,Coursera,Pluralsight,Lynda.com,Yes,Information Technology,Strongly Agree,Strongly Agree,7,18-29,Male,"$0-$9,999",South Atlantic,iOS Phone / Tablet
6947549793,175027024,10/9/2018 11:48,10/9/2018 11:49,,,,,e9a720b89e49a15538cc3b342f,Yes,7,7,7,6,6,3,,,,,Lynda.com,No,"Finance, Investment, or Accounting",6,Strongly Disagree,3,18-29,Male,"$25,000-$49,999",East South Central,Android Phone / Tablet
6947549760,175027024,10/9/2018 11:49,10/9/2018 11:49,,,,,7a9f2c778ee87418eb64f211ae,Yes,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,9,Udacity,,,Pluralsight,,Yes,Information Technology,3,8,8,30-44,Female,"$50,000-$74,999",New England,iOS Phone / Tablet
6947549621,175027024,10/9/2018 11:47,10/9/2018 11:49,,,,,cc3573c51889c2078cf6775b1b,No,Strongly Agree,Strongly Agree,Strongly Agree,6,Strongly Disagree,5,Udacity,,,,,No,Health,3,Strongly Agree,8,30-44,Female,"$25,000-$49,999",East North Central,Android Phone / Tablet
6947549583,175027024,10/9/2018 11:48,10/9/2018 11:49,,,,,6a26ca3ae2b584a4e68e573639,Yes,8,7,8,8,7,8,Udacity,Udemy,Coursera,Pluralsight,,Yes,"Finance, Investment, or Accounting",6,8,7,18-29,Female,"$50,000-$74,999",Middle Atlantic,Android Phone / Tablet
6947549554,175027024,10/9/2018 11:48,10/9/2018 11:49,,,,,a5ab08113e301e0a1c158ff3c9,No,6,6,7,7,5,Strongly Disagree,,,,Pluralsight,,No,Health,Strongly Disagree,Strongly Disagree,7,30-44,Female,"$75,000-$99,999",West North Central,Android Phone / Tablet
6947549550,175027024,10/9/2018 11:46,10/9/2018 11:49,,,,,2d0f4c48db453de8233264cfd2,Yes,9,6,7,6,5,8,,,,,Lynda.com,No,Other,3,Strongly Disagree,6,18-29,Female,"$25,000-$49,999",East North Central,iOS Phone / Tablet
6947549506,175027024,10/9/2018 11:48,10/9/2018 11:49,,,,,a0915e29651201941f6af53705,Yes,6,3,4,5,6,7,Udacity,,,,,No,Health,7,4,6,18-29,Male,"$100,000-$124,999",East North Central,iOS Phone / Tablet
6947549441,175027024,10/9/2018 11:47,10/9/2018 11:49,,,,,a843d4b180b6828656522888e2,Yes,8,8,4,5,5,3,,,,,Lynda.com,Unsure,Other,Strongly Agree,Strongly Agree,4,30-44,Male,"$25,000-$49,999",Middle Atlantic,Android Phone / Tablet
6947549369,175027024,10/9/2018 11:47,10/9/2018 11:48,,,,,c6c8cb6b54434c0bc9ceacb694,No,Strongly Agree,Strongly Disagree,Strongly Disagree,4,4,Strongly Disagree,,,,Pluralsight,,Unsure,Information Technology,8,8,Strongly Disagree,30-44,Female,"$100,000-$124,999",South Atlantic,iOS Phone / Tablet
6947549351,175027024,10/9/2018 11:47,10/9/2018 11:48,,,,,d3b9d052856c729bcd6dd97164,No,8,Strongly Agree,Strongly Agree,7,6,4,,Udemy,Coursera,,Lynda.com,No,Other,Strongly Disagree,Strongly Disagree,Strongly Disagree,45-60,Female,"$25,000-$49,999",Pacific,Android Phone / Tablet
6947549211,175027024,10/9/2018 11:46,10/9/2018 11:48,,,,,a7259cd665d3a625632ed98721,No,6,8,8,5,6,5,Udacity,,,,,No,Other,4,5,4,30-44,Male,"$50,000-$74,999",New England,iOS Phone / Tablet
6947549188,175027024,10/9/2018 11:46,10/9/2018 11:48,,,,,875241c7b7a79630e85201763e,Yes,6,6,5,7,4,8,Udacity,,,,,No,Energy,2,2,Strongly Agree,45-60,Male,"$25,000-$49,999",New England,Android Phone / Tablet
6947549107,175027024,10/9/2018 11:47,10/9/2018 11:48,,,,,3dd2ec21393b3cfd1062fcab5c,No,7,6,8,3,4,4,Udacity,,,,,No,Transportation,Strongly Disagree,Strongly Disagree,3,18-29,Female,"$75,000-$99,999",West North Central,Android Phone / Tablet
6947548966,175027024,10/9/2018 11:46,10/9/2018 11:48,,,,,ac03c4be3182a93b84d21077fc,Yes,8,6,6,3,Strongly Disagree,4,,,,,,No,Other,5,7,3,> 60,Female,"$75,000-$99,999",Middle Atlantic,Windows Desktop / Laptop
6947548952,175027024,10/9/2018 11:46,10/9/2018 11:48,,,,,9e949e6e40266b354946a7e501,Unemployed,8,5,6,6,7,4,,,Coursera,,,No,Other,8,Strongly Agree,6,18-29,Male,Prefer not to answer,West South Central,Android Phone / Tablet
6947548935,175027024,10/9/2018 11:47,10/9/2018 11:48,,,,,7805fa5015b796afaab086da6c,No,6,6,6,5,5,5,,Udemy,,,,No,Information Technology,6,5,5,18-29,Male,"$10,000-$24,999",South Atlantic,iOS Phone / Tablet
6947548842,175027024,10/9/2018 11:47,10/9/2018 11:47,,,,,fbc68dd1257be3f3714f4697bf,No,4,5,6,6,6,5,,,,Pluralsight,,No,Law,7,6,7,18-29,Female,"$50,000-$74,999",New England,iOS Phone / Tablet
6947548832,175027024,10/9/2018 11:45,10/9/2018 11:47,,,,,dfdad033dc63f085829bb293cf,No,7,6,6,5,4,7,,,,,Lynda.com,Yes,Information Technology,Strongly Agree,Strongly Agree,8,18-29,Male,"$50,000-$74,999",Mountain,Android Phone / Tablet
6947548798,175027024,10/9/2018 11:46,10/9/2018 11:47,,,,,2e4db56d6e6f468b52b31a4256,Unemployed,Strongly Agree,7,5,4,Strongly Disagree,8,,,,,,No,Law,Strongly Agree,Strongly Agree,5,18-29,Female,Prefer not to answer,West South Central,iOS Phone / Tablet
6947548788,175027024,10/9/2018 11:46,10/9/2018 11:47,,,,,055df3f722fa48ff0d0a7fc76c,No,4,4,Strongly Disagree,4,3,7,,,,,,Unsure,Education,3,4,4,18-29,Female,"$0-$9,999",Middle Atlantic,Android Phone / Tablet
6947548724,175027024,10/9/2018 11:46,10/9/2018 11:48,,,,,eb6adcba4df449dddf813e88d8,Yes,2,2,2,4,4,3,,,Coursera,,,No,Energy,4,4,4,18-29,Male,"$75,000-$99,999",Pacific,Other
6947548707,175027024,10/9/2018 11:46,10/9/2018 11:47,,,,,cfe0b4b13eb2171aa781b25824,Yes,5,3,6,8,5,4,,,,,Lynda.com,Unsure,"Finance, Investment, or Accounting",6,8,5,30-44,Female,"$0-$9,999",New England,Android Phone / Tablet
6947548680,175027024,10/9/2018 11:46,10/9/2018 11:47,,,,,3676df57b9ba90da84c17dc736,No,7,Strongly Agree,6,7,8,4,,Udemy,,,,No,Other,8,9,6,18-29,Female,Prefer not to answer,South Atlantic,iOS Phone / Tablet
6947548637,175027024,10/9/2018 11:46,10/9/2018 11:47,,,,,fc82bcbb564ae93aae9c89e0df,Yes,5,5,4,4,4,4,,,,Pluralsight,,No,Law,6,6,5,18-29,Female,"$0-$9,999",East South Central,Android Phone / Tablet
6947548390,175027024,10/9/2018 11:46,10/9/2018 11:46,,,,,d033381b66bc992ce84e191432,No,Strongly Disagree,3,4,4,6,Strongly Disagree,,,,,Lynda.com,No,Retail,3,2,2,30-44,Female,"$0-$9,999",South Atlantic,iOS Phone / Tablet
6947504766,175020213,10/9/2018 10:05,10/9/2018 10:07,76.238.236.31,,,,,Yes,7,5,Strongly Agree,8,Strongly Agree,4,Udacity,Udemy,Coursera,Pluralsight,Lynda.com,Yes,Information Technology,3,Strongly Disagree,6,,,,,
6947484189,175020213,10/9/2018 9:14,10/9/2018 9:16,76.92.65.204,,,,,No,8,9,Strongly Agree,Strongly Agree,Strongly Agree,3,,,,,,Yes,Information Technology,2,2,5,,,,,
6947284859,175020213,10/8/2018 16:59,10/8/2018 17:02,82.239.63.101,,,,,Unemployed,Strongly Agree,4,6,8,5,3,,,,,,No,Other,Strongly Disagree,Strongly Disagree,4,,,,,
6947014235,175020213,10/8/2018 3:08,10/8/2018 3:10,88.130.54.178,,,,,Unemployed,Strongly Agree,6,6,6,4,3,,,,,,No,Other,Strongly Disagree,Strongly Disagree,Strongly Agree,,,,,
6946967393,175020213,10/7/2018 21:26,10/7/2018 21:27,73.24.19.164,,,,,No,Strongly Agree,2,7,3,Strongly Disagree,Strongly Agree,,,,,,Yes,Other,2,2,Strongly Agree,,,,,
6946880595,175020213,10/7/2018 12:42,10/7/2018 12:44,96.66.84.66,,,,,Yes,2,Strongly Disagree,5,7,2,2,,,,,Lynda.com,Yes,Information Technology,Strongly Disagree,Strongly Disagree,9,,,,,
6946818921,175020213,10/7/2018 6:27,10/7/2018 6:28,92.117.146.25,,,,,Yes,5,6,6,6,4,8,,,,,,No,Health,Strongly Disagree,Strongly Disagree,7,,,,,
6946790561,175020213,10/7/2018 2:15,10/7/2018 2:17,108.60.187.139,,,,,No,6,5,3,3,2,Strongly Disagree,Udacity,,,,,No,Health,Strongly Disagree,Strongly Disagree,4,,,,,
6946779888,175020213,10/6/2018 23:53,10/6/2018 23:55,104.59.109.37,,,,,Unemployed,8,Strongly Agree,6,6,3,6,,,,,Lynda.com,Yes,Other,Strongly Disagree,3,8,,,,,
6946747587,175020213,10/6/2018 18:43,10/6/2018 18:45,94.146.221.22,,,,,Yes,6,6,8,5,5,Strongly Disagree,Udacity,Udemy,,,,No,Other,Strongly Disagree,Strongly Disagree,2,,,,,
